Parameters,explicit_feature_0,explicit_feature_2,explicit_feature_3,explicit_feature_4
system_multi_gpu,False,False,False,False
data_input_feature_type,explicit_feature,explicit_feature,explicit_feature,explicit_feature
data_input_img_type1,img_local_context_ROI_1,img_local_context_ROI_1,img_local_context_ROI_1,img_local_context_ROI_1
data_input_img_type2,None,None,None,None
data_input_img_type3,None,None,None,None
data_num_of_input_imgs,None,None,None,None
data_sequence_stride,1,1,1,1
data_dataset_trim,400,400,400,400
data_with_no_hazard_samples_flag,True,True,True,True
data_num_of_no_hazard_samples_train,,,,
data_num_of_no_hazard_samples_test,,,,
data_split_seed,,,,
data_train_total_sequences,27432,27432,27432,27432
data_test_total_sequences,7011,7011,7011,7011
data_num_dynamic_features,,,,
data_sampler_num_samples,7011,7011,7011,7011
data_sampler_replacement,True,True,True,True
data_sampler_generator,None,None,None,None
model_model,Embedding_Temporal_LSTM,Embedding_Temporal_LSTM,Embedding_Temporal_LSTM,Embedding_Temporal_LSTM
model_cnn_model,None,None,None,None
model_cnn_pretrained,,,,
model_freeze_strategy,head,head,head,head
model_encoder_type,LSTM,LSTM,LSTM,LSTM
model_enc_hidden_size,112,112,112,112
model_enc_input_seq_length,16,16,16,16
model_enc_layers_num,1,1,1,1
model_bi_directional,False,False,False,False
model_output_embedding_size,112,112,112,112
model_dropout_embedding_feature,0.25,0.25,0.25,0.25
model_fc_output_size,128,128,128,128
model_dropout1,,,,
model_num_classes,6,6,6,6
model_classes_type,literature_classes,literature_classes,literature_classes,literature_classes
model_object_visible_side,,,,
model_tailight_status,,,,
model_num_heads,2,2,2,2
training_batch_size,16,16,16,16
training_num_epochs,30,30,30,30
training_learning_rate,0.0001,0.0001,0.0001,0.0001
training_cnn_lr,1e-05,1e-05,1e-05,1e-05
training_optimizer,Adam,Adam,Adam,Adam
training_weight_decay,0.0009,0.0009,0.0009,0.0009
training_clip_grad,5,5,5,5
training_patience,5,5,5,5
training_ts_augme,False,False,False,False
training_step_size,30,30,30,30
training_gamma,0.1,0.1,0.1,0.1
training_momentum,0.9,0.9,0.9,0.9
training_stage,0,0,0,0
loss_loss_function,FocalLoss,FocalLoss,FocalLoss,FocalLoss
loss_focal_loss_gamma,1,1,1,1
logging_test_name,explicit_feature_0,explicit_feature_2,explicit_feature_3,explicit_feature_4
logging_comments,None,None,None,None
logging_pred_save_wrong,False,False,False,False
train_loss,,,,
val_loss,,,,
train_acc,,,,
val_acc,,,,
train_f1_macro,,,,
val_f1_macro,,,,
f1_macro,0.789,0.809,0.817,0.841
acc,0.84,0.86,0.862,0.884
precision_weighted,0.851,0.863,0.876,0.885
recall_weighted,0.84,0.86,0.862,0.884
f1_weighted,0.84,0.86,0.861,0.882
precision_macro,0.818,0.824,0.853,0.86
recall_macro,0.777,0.798,0.803,0.827
model_num_object_types,14,14,14,14
model_num_visible_sides,9,9,9,9
model_num_tailight_statuses,,,,
model_num_kinematic_features,14,14,14,14
model_num_bbox_features,3,3,3,3
model_emb_dim_object_type,5,5,5,5
model_emb_dim_visible_side,2,2,2,2
model_emb_dim_tailight_status,,,,
data_cached_dataset,False,False,False,False
data_cached_dataset_dir_path,./output/dataset_cache,./output/dataset_cache,./output/dataset_cache,./output/dataset_cache
model_dropout_fc,0.3,0.5,0.5,0.5
model_dropout_cnn,0.7,0.7,0.7,0.7
model_use_object_visible_side,None,True,False,True
model_use_rear_light_status,None,False,True,True
model_num_rear_light_statuses,10,10,10,10
model_emb_dim_rear_light_status,5,5,5,5
